"","take_own","take_matdis","take_bond","take_illchild","take_illspouse","take_illparent","need_own","need_matdis","need_bond","need_illchild","need_illspouse","need_illparent","resp_len"
"(Intercept)",-2.12455893865443,-5.44029035712301,-6.39075256621092,-5.7066928442098,-9.10942198616242,-4.72350715817799,-3.91424856641991,-30.3274852296615,-13.6084074463625,-6.67736903428428,-11.1184612693837,-5.02864764968642,-2.21040815367264
"z_age",0.998270500819488,-3.8001122411319,0.915810604044116,-1.30206189640474,1.47597688426667,4.22120748961407,1.79717378879587,5.24162978820943,3.35295772185528,1.28719295046797,3.48974947025779,1.4177456607471,-0.0144546729025447
"z_agesq",-0.651343810600746,2.62605399676463,-2.13920771132897,1.68506579402713,-1.03352646046622,-3.62335909043959,-1.98626941834971,-10.1248945238873,-7.02958908124479,-1.42494741366742,-2.92632706766792,-1.15451420848033,0.0460413842946186
"z_asian",-0.0296692669197699,0.195094945992892,-0.0775352865368064,0.0232213677788472,-2.63610158954308,0.0976368191791642,-0.163887210898402,-2.95117480543571,0.033759516309857,-2.29386231714309,-2.7880694458318,0.0585876598284487,0.0943485630249839
"z_BA",-0.125408542347509,-0.588867499847191,0.0812461829135479,-0.283816831745539,-0.00869373204296436,-0.317003102531157,-0.0434919023341659,9.15237606153626,0.31472185315781,0.072860571922957,0.220290448516717,-0.160194933268494,-0.156716534414382
"z_black",-0.048128274945153,0.1341601144878,-0.0352530146250592,-0.187326397620517,-0.128286610181022,-0.0825105997671039,0.241539484876977,0.940814799512478,0.645057001450636,0.138628385931797,-0.516435079683798,0.252315433728329,0.128463046671127
"z_coveligd",0.340564925592318,0.179322805857081,-0.134267618258304,0.222060586688429,0.56449462738763,0.390779953301621,0.179798881881173,-1.29251021148142,-0.761699409854491,0.352346103333581,0.475804278757425,0.309815588435152,0.198963485177159
"z_divorced",0.137054078923876,-0.644336773172744,-0.0814088398768996,-0.0333003190635669,-5.5593920998608,-0.0129435078819439,0.0309057018406817,0.086885089171557,-0.302757975012598,0.130712649152568,-5.79380624696727,0.125701835878032,-0.0367043773439352
"z_faminc",-0.156310374435707,0.327877878833044,0.234702630895445,0.0165112034839145,-0.0714397749310378,0.242020864302764,-0.432874563501291,-0.42151784077955,-0.391414007718207,0.194499022804022,-0.603335586470235,-0.142459856513308,-0.204418122280222
"z_female",0.0499954554325554,NA,-0.335618925635172,0.105485897023562,-0.00491982455555093,0.306052832028324,0.304494143201711,NA,0.137843831335613,0.549321082919656,0.139731539900461,0.738283216815454,0.353712727142965
"z_GradSch",-0.152349617816118,-0.057237824314805,-0.186078440983584,-0.221101522483976,-0.155562834159172,-0.206339291015191,0.0320145474452317,8.67309634112168,0.119761549709051,-0.450567927269111,0.0412287039168706,-0.210496652139135,-0.0407712312554395
"z_hisp",-0.115387061764898,-0.0966326376434817,0.00518422767748805,0.0939316936806894,-0.0780474800517927,0.166141312177521,0.0630887686934031,0.932240075051328,0.441051897431286,0.112977635512035,-0.558640763016885,-0.425063131277138,-0.0124974373659362
"z_ltHS",0.136581172044004,-0.0729702789163442,-0.0838688547007203,-2.03596182774546,-2.10236847108543,0.0590327536197798,0.130464037186863,0.62227757875379,-2.26101455590208,0.0925229742300748,-2.0951161690869,0.212492664225946,0.0289769637588315
"z_native",-0.0109971868721374,-0.0453523207265522,0.112661597585247,-0.127725362185733,0.0880169991805055,-1.69621095755038,0.104092780451995,0.761046330136269,-2.14334894303029,0.169382069621522,-2.25263844574099,0.0994017928309368,0.0590618715182352
"z_nevermarried",0.0822586188198718,-0.260939564037905,-0.247553580526284,-0.114439921866556,-5.72065320761922,0.493591364753446,-0.0734010486138005,0.268982034753449,-6.24619726575406,0.098683552725043,-5.78141435663482,0.392269697153437,-0.125726186142701
"z_nochildren",-0.114989086544371,-1.64189035552799,-1.35117560534158,-1.1161052097735,0.261739763751537,0.21873887146353,0.0463227748634718,-9.99621018797346,-1.10847055615791,-1.00166334366194,-0.517746041273054,-0.612720450864093,-0.410628770946442
"z_other",-0.110581012572273,-0.139122598007838,-1.82140569958166,0.0586684816847516,-0.222370579355293,0.0589561010866689,-1.7286584278327,-1.82441387981104,-2.0052202667735,0.152357846189186,0.0252293988167025,-0.0277985514151628,-0.118985022088708
"z_separated",0.0268199997829047,-0.0443828768052538,0.106115311692148,0.0419163153012662,-0.256445920830536,-0.00102221791120919,0.0616723294016106,-2.78790885414565,-0.0726847339314978,0.434258480394131,0.177989432096629,-0.129538308856576,0.0436563401347956
"z_someCol",0.00643534376818376,-0.530394023964662,-0.119250178520517,0.0293473801749405,-0.0152997674038231,0.0536809676808932,0.200832978668365,9.25980415609371,-0.691252340473732,0.584700240403639,0.416980008614956,0.0686163875754416,-0.022169205872699
"z_widowed",-0.0193820905442072,0.372321334209764,-2.19022128176839,-2.6673482522287,0.136026440350925,0.20147526222483,-0.108485629754936,-2.22625584660968,-2.29583403266314,0.177369300352362,0.026868341666569,0.170571049977854,0.0678704008975776
