"","nobs","logit","Naive_Bayes","random","random_forest","ridge_class","xg_boost","KNN1","KNN_multi"
"AL",91811,1.112099022687,4.260455117686,0.815319138888,1.384832779287,3.018358421202,14.963906544268,44.119473165511,69.790750272518
"AK",13907,0.168454336719,0.645349133782,0.123499834056,0.209766470919,0.457203500274,2.266646135116,6.682962970807,10.571499755366
"AZ",130527,1.581062717259,6.057056617902,1.159133015016,1.968806223459,4.291177197114,21.274072055676,62.724319241427,99.220978540926
"AR",58259,0.705686431503,2.703487106134,0.517363689672,0.878750616903,1.915310183538,9.495400674892,27.996170253559,44.285971399142
"CA",797417,9.659045935389,37.003837651042,7.081388306136,12.027852875589,26.215707455094,129.967797592996,383.196108671317,606.161905545746
"CO",124220,1.50466654974,5.76438264172,1.10312428176,1.87367448174,4.08382964004,20.24611942936,59.69351119822,94.42666999436
"CT",83118,1.006801435206,3.857059703868,0.738121752144,1.253711766006,2.732569248276,13.547069350584,39.942080693718,63.182707749084
"DE",19727,0.238951513659,0.915424057102,0.175183808616,0.297552539859,0.648540551514,3.215224585276,9.479744770627,14.995611970526
"DC",40401,0.489373959717,1.874793295026,0.358777363608,0.609389170317,1.328214468582,6.584796901188,19.414567267101,30.711092371938
"FL",396486,4.802602009662,18.398784544236,3.520957446288,5.980403321262,13.034787302052,64.621662438168,190.530039292686,301.391504422668
"GA",201922,2.445864426474,9.370114891172,1.793149744176,3.045693919674,6.638343653004,32.910456668936,97.032950959322,153.492368850436
"HI",31239,0.378395414163,1.449634111614,0.277415065512,0.471193987563,1.027006553898,5.091519279132,15.011798392539,23.746536338382
"ID",31472,0.381217723824,1.460446389472,0.279484200576,0.474708447024,1.034666611104,5.129495014336,15.123765773872,23.923652858336
"IL",285755,3.461326597335,13.26035390263,2.53762098804,4.310190400335,9.39441908541,46.57406100094,137.318622544255,217.21858866719
"IN",144118,1.745689372206,6.687741889868,1.279826640144,2.173806303006,4.737991950276,23.489214618584,69.255429454718,109.552268767084
"IA",76423,0.925705455891,3.546380732798,0.678667420584,1.152727619691,2.512465887786,12.455878160924,36.724820530523,58.093458388174
"KS",66985,0.811383745245,3.10841387261,0.59485412988,1.010369386245,2.20218425727,10.91761640618,32.189420766485,50.91909909493
"KY",91411,1.107253855887,4.241893267286,0.811766975688,1.378799372487,3.005208108402,14.898712149068,43.927254485111,69.486687577318
"LA",90958,1.101766704486,4.220871971708,0.807744150864,1.371966539286,2.990315379156,14.824879496504,43.709566829558,69.142336575004
"ME",28351,0.343413309867,1.315617551726,0.251768447208,0.427632790467,0.932061295482,4.620815745788,13.623979520051,21.551203679038
"MD",128283,1.553881331511,5.952924637158,1.139205379464,1.934958811311,4.217403942306,20.908331498604,61.645972444383,97.515186820854
"MA",169104,2.048342716368,7.847207875104,1.501712514432,2.550683058768,5.559426239328,27.561582514752,81.262369325904,128.545545022752
"MI",204220,2.47369990974,9.47675272172,1.81355692176,3.08035584174,6.71389220004,33.28499846936,98.13724727822,155.23920903436
"MN",133200,1.6134405444,6.1810961832,1.1828703456,2.0091244644,4.3790541624,21.7097336016,64.0088205732,101.2528775016
"MS",52853,0.640204002201,2.452623697978,0.469356204024,0.797209124001,1.737583706046,8.614298423764,25.398334787953,40.176564073514
"MO",134433,1.628375771061,6.238313087058,1.193819888664,2.027722440861,4.419590001606,21.910695324804,64.601334655533,102.190150759554
"MT",21865,0.264848930205,1.01463714749,0.19417012092,0.329801099205,0.71882897343,3.56368862762,10.507153617365,16.62082707637
"NE",46881,0.567865661877,2.175495271506,0.416322407448,0.707130360477,1.541249535942,7.640946103428,22.528509889581,35.636908034178
"NV",58331,0.706558561527,2.706828239206,0.518003079048,0.879836630127,1.917677239842,9.507135666028,28.030769616031,44.340702684278
"NH",31730,0.38434285641,1.47241878298,0.28177534584,0.47859999441,1.04314856286,5.17154539924,15.24774682273,24.11977329674
"NJ",185915,2.251972964055,8.62731604279,1.65100105332,2.804252063055,6.11210101053,30.30153995902,89.340839916415,141.32453994527
"NM",37786,0.457698681762,1.753445198036,0.335555096688,0.569945773362,1.242244298652,6.158588542568,18.157937643986,28.723282502068
"NY",454293,5.502813402681,21.081296759418,4.034307191544,6.852336188481,14.935237632126,74.043393446484,218.309002437393,345.333884976234
"NC",205227,2.485897617159,9.523482180102,1.822499492616,3.095544943359,6.746998112514,33.449125359276,98.621157806127,156.004686869526
"ND",20546,0.248871992682,0.953429445796,0.182456862768,0.309905940282,0.675465816972,3.348710109448,9.873312518746,15.618180338948
"OH",259584,3.144319446528,12.045898435584,2.305211830272,3.915439676928,8.534026994688,42.308554708992,124.742234832384,197.324526676992
"OK",75052,0.909098646684,3.482759990552,0.666492381216,1.132048117884,2.467393190664,12.232424371376,36.065991003452,57.051283500376
"OR",87486,1.059710656662,4.059755110236,0.776911374288,1.319596568262,2.876170664052,14.258992146168,42.041108683686,66.503072380668
"PA",285251,3.455221687167,13.236965971126,2.533145262408,4.302588307767,9.377849691282,46.491916062988,137.076427006951,216.835469671238
"RI",23646,0.286422035382,1.097283786396,0.209986127568,0.356664842982,0.777380741172,3.853966672248,11.363007291846,17.974666226748
"SC",96611,1.170241024287,4.483197322486,0.857945097288,1.457233660887,3.176162174802,15.746239286668,46.426097330311,73.439502614918
"SD",20574,0.249211154358,0.954728775324,0.182705514192,0.310328278758,0.676386338868,3.353273717112,9.886767826374,15.639464727612
"TN",138827,1.681599928359,6.442215013702,1.232840401416,2.093999414559,4.564046187714,22.626855756076,66.712856859727,105.530279466326
"TX",551792,6.683810697264,25.605701389792,4.900138091136,8.322964012464,18.140593501344,89.934364290496,265.161825238192,419.448406774496
"UT",62608,0.758365507536,2.905300824608,0.555984584064,0.944348832336,2.058286959456,10.204226736704,30.086067856208,47.591893052704
"VT",15828,0.191723250276,0.734492420328,0.140559097824,0.238741907076,0.520357877496,2.579742218064,7.606093183428,12.031760849064
"VA",185358,2.245226069286,8.601468666108,1.646054666064,2.795850544086,6.093789199956,30.210756763704,89.073175403958,140.901132642204
"WA",152181,1.843355821977,7.061902389306,1.351429369848,2.295424700577,5.003069380542,24.803370639828,73.130077504881,115.681412545578
"WV",34918,0.422958835806,1.620356730668,0.310086086544,0.526686246606,1.147956555876,5.691144728984,16.779729705518,26.543152977484
"WI",136044,1.647889680348,6.313070939544,1.208126225952,2.052021986748,4.472552886408,22.173265751472,65.375495390844,103.414763264472
"WY",13853,0.167800239201,0.642843283978,0.123020292024,0.208951961001,0.455428208046,2.257844891764,6.657013448953,10.530451291514
