"","Leave Length, Days","Count","Percent"
"1",1,322970.00585227,0.0295281822255195
"2",2,454803.264942895,0.0415813030332539
"3",3,449959.235850611,0.0411384279329323
"4",4,628410.026002531,0.0574536502582651
"5",5,881036.333840196,0.0805505184429932
"6",6,193425.712096687,0.0176843346762806
"7",7,134412.89518607,0.0122889692249917
"8",8,130094.157525061,0.0118941199500506
"9",9,10542.6637615822,0.000963884233995321
"10",10,1147571.23607842,0.104919007838727
"11",11,28569.6445028832,0.00261203719761309
"12",12,114320.383093376,0.0104519709041231
"13",13,21345.7129604373,0.00195157473018634
"14",14,29929.9891318387,0.0027364094407485
"15",15,895483.723349051,0.0818714000802053
"16",16,16003.0222553316,0.00146310848918466
"17",17,27641.6328341748,0.00252719186471996
"18",19,24663.1534222441,0.00225487839524355
"19",20,721285.984827391,0.0659450215523684
"20",22,26408.7023736126,0.0024144687181392
"21",23,320194.882339135,0.0292744609780063
"22",24,5449.12584806416,0.000498197287970529
"23",25,332839.127914425,0.0304304865552612
"24",28,19492.9647471909,0.00178218349921312
"25",30,752293.867480076,0.0687799795757298
"26",35,103735.660221756,0.00948424133141853
"27",40,244059.295369462,0.0223136118429454
"28",44,8624.37778345928,0.00078850108108241
"29",45,583687.064854633,0.0533647636046728
"30",46,12262.700352278,0.00112114203801524
"31",47,8167.49699354777,0.000746729836151334
"32",50,235774.226983071,0.0215561328057863
"33",55,108318.354476855,0.0099032233687483
"34",60,107537.622478161,0.0098318433758419
"35",63,20935.8620788152,0.00191410328919017
"36",65,51577.4759193336,0.00471557444989197
"37",68,424829.318167939,0.0388408746765917
"38",70,58592.3606424305,0.00535692439150037
"39",75,41289.0631740957,0.00377493562632362
"40",80,28792.1410619441,0.00263237939292984
"41",90,352387.915047064,0.0322177737283137
"42",105,21928.0913749381,0.00200481984780093
"43",106,20475.187197096,0.00187198516178627
"44",110,12325.9167894237,0.00112692172789932
"45",113,220362.07518376,0.0201470458361883
"46",115,13513.8510576318,0.00123553100711403
"47",135,208007.171670733,0.0190174739387959
"48",158,94541.5058638716,0.0086436472812907
"49",160,14449.7310202508,0.0013210957145998
"50",180,60681.793625786,0.00554795500351563
"51",203,70038.2688023949,0.00640338956089626
"52",215,12953.0641668609,0.00118425993797352
"53",225,10527.9278737162,0.000962536975815684
"54",248,44722.4717931339,0.00408884191334893
"55",261,53441.2546472394,0.00488597416784851
