"","Leave Length, Days","Count","Percent"
"1",1,8581.73318199383,0.00456251623071881
"2",2,25281.4109413319,0.0134409734384797
"3",3,175099.0040014,0.0930921564207235
"4",4,40858.1869887247,0.0217224350070611
"5",5,203056.35060041,0.107955802833485
"6",10,250288.036279671,0.133066736481246
"7",15,105616.59764181,0.0561515291555706
"8",20,28310.1270124986,0.015051203672849
"9",25,12037.8160468344,0.00639995790259805
"10",30,202920.889647511,0.107883784421455
"11",40,56351.1298945257,0.0299593263168063
"12",45,186611.673556055,0.099212917878587
"13",60,131908.554013833,0.070129763521608
"14",68,127118.875150549,0.0675833096654666
"15",70,17527.2577108198,0.0093184437327178
"16",90,128328.060841907,0.0682261785622005
"17",135,40774.0376461716,0.0216776966385916
"18",225,37388.3969325918,0.0198777058465799
"19",261,102862.991399993,0.0546875622732563
