"","Leave Length, Days","Count","Percent"
"1",1,68770.4696834484,0.0563930034565554
"2",2,52668.4655963914,0.0431890748471014
"3",3,110037.77488718,0.0902329248022846
"4",4,138225.821747458,0.113347622598333
"5",5,251869.870193117,0.206537755606185
"6",6,65024.8892177287,0.0533215611191334
"7",7,47511.0486506051,0.0389599015843713
"8",8,14047.3763627326,0.011519097476366
"9",10,235556.511546505,0.193160512513604
"10",12,25963.2520577158,0.0212903266441784
"11",15,63668.1508662625,0.0522090116353789
"12",16,19924.6103842955,0.0163385334932869
"13",20,8743.56398363744,0.00716987736482701
"14",25,20757.3422101894,0.0170213883429364
"15",30,12750.9932481508,0.0104560403560912
"16",38,5541.37319557254,0.00454402418960353
"17",40,8624.37778345928,0.00707214256921548
"18",45,21238.354637919,0.0174158270551404
"19",50,15637.1847046796,0.0128227684813098
"20",55,11224.3583280005,0.00920417267618127
"21",135,10568.5057549408,0.0086663619473933
"22",225,11131.553704147,0.00912807124052371
