"","Leave Length, Days","Count","Percent"
"1",2,10563.2181990348,0.00982542822280125
"2",5,37729.4943409353,0.0350942706611247
"3",6,16365.0937276043,0.0152220706559563
"4",10,36560.7110987384,0.0340071213058962
"5",12,19666.3096000673,0.0182927124804167
"6",15,83444.8853238198,0.0776166615003738
"7",19,14558.2169757061,0.0135413955530936
"8",20,56449.9349433593,0.0525071785432262
"9",23,29851.3808506853,0.0277664055000504
"10",25,11510.5667330075,0.0107066090189506
"11",30,67120.2421891682,0.0624322161580424
"12",35,132975.171779266,0.1236874957152
"13",45,122982.16387202,0.114392451338336
"14",50,7071.41963710748,0.00657751499292663
"15",55,20001.1851465698,0.018604198580934
"16",60,36300.7830191056,0.0337653479522268
"17",65,11568.5587001765,0.0107605505261865
"18",68,96789.722348016,0.0900294258545364
"19",90,101014.750848329,0.0939593564388449
"20",113,34083.3049609235,0.0317027500691029
"21",135,51865.4247607384,0.0482428743428113
"22",158,30767.2895185887,0.0286183423535321
"23",180,15029.5915418904,0.0139798468734044
"24",248,18355.3723450847,0.0170733378863555
"25",261,12465.0620994158,0.0115944374756702
