"","Leave Length, Days","Count","Percent"
"1",4,140542.585593032,0.0693078972515047
"2",5,128252.99281399,0.0632473439323909
"3",6,82304.7469417335,0.0405881884147689
"4",8,13106.5642804814,0.00646343886900061
"5",10,88372.8183808914,0.0435806285356428
"6",13,3540.57713839501,0.00174601851448416
"7",23,68752.2814250526,0.0339048555048808
"8",25,11345.5947730078,0.00559502526203574
"9",30,236213.03097149,0.116487315292784
"10",35,25894.2192803275,0.0127696091666172
"11",40,260792.666086794,0.128608643627983
"12",45,149765.500524857,0.0738561332026016
"13",55,51437.3823074339,0.0253660966375928
"14",60,228624.308819097,0.112744973617562
"15",68,106579.058391345,0.0525589478589734
"16",70,111314.85982378,0.0548943854610193
"17",80,13269.6585108196,0.00654386800093166
"18",90,189442.516757042,0.0934226621138421
"19",113,57536.204490084,0.0283737013390909
"20",135,33909.6074856735,0.0167223591450166
"21",261,26803.2803682513,0.0132179082512777
