"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"535",0,0,0,0,0,10,0,NA,1,17902.8072466286
"1494",0,0,0,0,0,0,0,NA,NA,30599.3886530594
"2536",0,0,0,0,0,0,0,NA,NA,11920.6620766125
"935",0,0,0,0,0,0,0,NA,NA,38698.4610119731
"1114",0,0,0,0,0,0,0,NA,NA,150227.857283952
"1640",0,0,0,0,0,0,0,0,NA,6776.64836207017
"1375",0,0,0,0,0,0,0,NA,NA,48302.0969275131
"377",5,0,0,0,0,0,0,NA,0,8293.81916865139
"1677",0,0,0,0,0,0,0,NA,NA,69804.599566246
"1596",0,0,0,0,0,0,0,NA,NA,170842.008137273
"78",0,0,0,0,0,0,0,NA,NA,67038.012622671
"592",0,0,0,0,0,0,0,NA,NA,54266.2372896164
"1355",0,0,0,0,0,0,0,NA,NA,49079.3447946954
"1982",20,0,0,0,0,0,0,NA,0,26118.7860643978
"2384",0,0,0,0,0,0,0,0,NA,5256.31686221133
"984",0,0,0,0,0,0,0,NA,NA,32380.5666221551
"988",0,0,0,0,0,0,0,NA,NA,117721.16812949
"1078",80,0,0,0,0,0,1,NA,0,8738.23612290939
"2408",20,0,0,0,0,0,0,NA,0,21188.530197242
"1009",0,0,0,0,0,0,0,NA,NA,27521.9044034981
"1644",0,0,0,0,0,0,0,NA,NA,102280.334704666
"2711",0,0,0,0,0,0,0,NA,NA,64858.0355064066
"2755",0,0,0,0,NA,0,0,NA,0,12291.3271605139
"1376",7,0,0,0,0,0,0,NA,0,9217.53104464162
"2660",80,0,0,0,0,0,0,NA,0,20053.9049390347
"1383",0,0,0,0,0,0,0,NA,NA,71082.2048849951
"1934",0,0,0,0,0,0,0,NA,NA,13197.5186652323
"307",0,0,0,0,0,0,0,NA,NA,107061.851028891
"55",45,0,0,0,0,0,0,NA,1,11596.5115059624
"2233",0,0,0,0,0,0,0,NA,NA,9422.36058905832
"1369",0,0,0,0,0,0,0,NA,NA,37552.0804168211
"1312",0,0,0,0,0,0,0,NA,NA,107061.851028891
"393",0,0,0,0,0,0,0,NA,NA,20702.0012974132
"1713",23,0,0,0,0,0,0,NA,0,8979.7076957736
"442",5,0,0,0,0,0,1,NA,0,6428.85984372427
"1306",0,0,0,0,45,0,0,NA,0,10368.7746352238
"2704",0,0,0,0,0,0,0,NA,NA,16412.1152820265
