"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"1344",0,0,0,0,2,0,0,NA,0,7231.64738395703
"1815",0,0,0,0,0,0,0,NA,NA,291665.273473705
"85",0,0,0,0,0,0,0,NA,NA,197239.420712327
"278",0,0,0,0,0,0,0,NA,NA,134201.016905628
"2663",0,0,0,0,0,0,1,NA,0,24208.452012535
"1407",0,0,90,0,0,0,0,NA,0,78237.7416212574
"688",0,0,0,0,0,0,1,NA,0,21945.189148111
"740",0,0,0,0,0,0,0,NA,NA,75875.2229445771
"1421",0,0,0,0,0,0,0,NA,NA,75637.6361947829
"2840",0,0,0,0,0,0,0,NA,NA,57651.7003186983
"2192",0,0,0,0,0,0,0,0,NA,20156.7097206437
"1521",0,0,0,0,0,0,0,NA,NA,334493.393870968
"544",0,0,0,0,0,0,1,NA,0,4800.99716801963
"2603",0,0,0,0,0,0,0,NA,NA,45654.9649554952
"1801",0,0,0,0,0,0,0,NA,NA,78621.3206891617
"2474",0,0,0,0,0,0,0,NA,NA,35269.6022242749
"512",0,0,0,0,0,0,0,0,NA,9576.49875623477
"476",35,0,0,0,0,0,0,NA,NA,4804.72852380452
"2342",25,0,0,0,0,0,1,NA,0,10066.4494311632
"722",0,0,45,0,0,0,0,NA,0,13838.3760711679
"298",0,0,0,0,0,0,0,NA,NA,48302.0969275131
"2389",0,0,0,0,0,0,0,NA,NA,35761.776098448
"228",0,0,0,0,0,90,0,NA,0,3534.553197474
"54",0,0,0,0,0,0,0,NA,NA,26293.8457442412
"1055",0,60,0,0,0,0,0,0,0,19045.8169097139
"1908",0,0,0,0,0,0,0,NA,NA,7399.55859444377
"638",0,0,0,0,0,0,0,NA,NA,52113.8252775926
"182",0,0,0,12,0,0,1,1,0,25963.2520577158
"1493",0,0,0,0,0,0,0,NA,NA,81698.0876181474
"2615",0,0,0,0,0,0,0,NA,NA,10176.2070736376
"597",4,0,0,0,0,0,0,NA,0,9139.67467222419
"2154",0,0,0,0,0,0,0,NA,0,8201.59958814712
"87",0,0,0,0,0,0,1,1,NA,72710.9236921613
"681",248,0,0,0,0,0,0,NA,1,7964.33097237048
"945",0,68,0,0,0,0,0,NA,0,11303.2692796311
"1284",0,0,0,0,0,0,0,NA,NA,78594.3194027486
"2680",14,0,0,0,0,0,1,NA,0,18361.4304316622
"847",NA,0,0,0,0,0,0,NA,0,82389.9845485196
"209",0,0,0,0,0,0,0,NA,NA,17976.4699452633
"6",0,0,0,0,0,0,0,NA,NA,60231.0327491586
"471",1,0,0,0,0,0,0,NA,0,4644.97683425707
"2167",20,0,0,0,0,0,0,NA,0,7814.90754162918
"1716",0,0,0,0,0,0,0,NA,NA,70681.7317728691
"323",0,0,0,0,0,0,0,NA,NA,263219.624055563
"2562",135,0,0,0,0,0,0,1,0,7101.216006081
"1079",3,0,0,0,0,0,1,NA,0,9616.33958483722
"2125",0,0,0,0,1,0,0,NA,0,22902.1588547631
"1540",15,0,0,0,0,0,1,NA,0,21383.5136709859
"2420",63,0,0,0,0,0,1,0,0,20935.8620788152
"590",45,0,0,0,0,0,0,NA,0,11071.7849139088
"1621",0,0,0,0,0,0,0,NA,NA,87506.6808267249
"531",0,0,5,0,0,0,0,NA,1,26083.8550870434
"855",0,0,0,0,0,0,0,NA,NA,11154.1489535674
"887",0,0,0,0,0,0,0,NA,NA,147907.40343074
"2208",0,0,0,0,0,0,0,0,NA,18571.1832862083
"770",0,0,0,0,0,0,0,NA,NA,80685.8134336126
"904",0,0,0,6,0,0,0,NA,0,13457.2429643418
"2528",0,0,0,0,0,0,0,NA,NA,11654.6198810987
"1755",5,0,0,0,0,0,0,NA,0,14678.5812122906
"954",0,0,0,0,0,0,0,NA,NA,104284.589575964
"455",0,0,0,0,0,0,0,NA,NA,8219.4246978862
"234",0,0,0,0,0,0,0,NA,NA,83089.8259114145
"2439",0,0,0,0,0,0,0,NA,NA,15099.4682341423
"1631",2,0,0,0,0,0,1,NA,0,8605.70923865227
"1702",0,0,0,0,30,0,1,NA,0,9552.69398505699
"975",20,0,0,0,0,0,0,NA,0,11347.4621594706
"2604",0,0,0,0,0,0,0,NA,NA,6600.49837030156
"146",0,0,0,0,0,0,0,NA,NA,6460.64879028156
"1741",0,0,0,0,0,0,0,NA,0,20476.7247359572
"1715",45,0,0,0,0,0,0,NA,0,22761.0324088966
"631",15,0,0,0,0,0,1,1,0,10568.5057549408
"1431",0,0,0,0,5,0,0,NA,NA,7822.73672032719
"635",0,60,0,0,0,0,1,NA,NA,20633.2120432124
"785",0,0,0,0,0,0,0,NA,NA,334493.393870968
"627",0,0,0,0,0,0,1,NA,NA,46387.6251182552
"383",0,0,0,0,0,0,1,NA,0,41252.0036398191
"2506",0,60,0,0,0,0,1,NA,0,21217.0540377075
"1768",0,0,0,0,60,0,0,0,0,11776.6656793826
"1826",5,0,0,0,0,0,0,NA,0,6915.25167613814
"1377",30,0,0,0,0,0,0,NA,0,10368.7746352238
"1204",0,0,45,0,0,0,0,NA,0,22963.3584154736
"970",158,0,0,0,0,0,1,NA,1,13146.1921952985
"1258",45,0,0,0,0,0,1,0,0,6209.54827667585
"2534",30,0,0,0,0,0,0,NA,0,6776.64836207017
"532",0,0,0,0,0,0,0,NA,NA,334493.393870968
"86",0,0,0,0,0,0,0,NA,NA,83459.7431488166
"378",7,0,0,0,0,0,0,NA,0,38785.0918138467
"472",0,0,0,0,0,0,0,NA,NA,84356.4686128427
"806",0,0,0,0,0,0,0,NA,NA,24663.1534222441
"1489",0,0,0,0,12,0,1,NA,0,7995.67866363086
"2700",0,0,0,0,0,0,0,NA,NA,44228.9573488463
"712",0,60,0,0,0,0,1,NA,0,9118.09339736663
"2382",0,0,0,0,0,0,0,NA,NA,26917.8679576949
"461",0,0,0,0,0,0,0,NA,NA,15762.8250170556
"2066",0,0,0,0,0,0,0,NA,NA,42424.0643390705
"2583",0,0,0,0,0,0,0,NA,NA,60993.3964054344
"1010",261,0,0,0,0,0,0,NA,NA,9435.91421545373
"1124",0,0,0,0,0,0,0,NA,NA,85554.1180578715
"1966",0,0,0,0,0,0,0,NA,NA,84704.9663460239
"371",0,0,10,0,0,0,1,NA,0,21945.189148111
"2472",65,0,0,0,0,0,0,NA,0,21607.2435795512
"2514",0,0,0,0,0,0,0,NA,NA,16620.4107755927
"2616",0,30,0,0,0,0,0,NA,0,24121.8178132431
"1571",0,0,0,10,0,0,0,NA,0,18301.6804818136
"1186",0,0,0,0,10,0,1,NA,0,60021.3350662354
"2519",0,0,0,0,0,0,0,NA,0,5917.76921728054
"2381",0,0,0,0,0,0,0,NA,NA,23631.42045006
"1476",0,0,0,0,0,0,0,NA,NA,334493.393870968
"1672",4,0,0,0,0,0,0,1,0,8979.7076957736
"19",0,0,0,0,0,0,0,NA,NA,11486.9767008059
"2200",0,0,0,0,0,0,0,NA,NA,300689.9026331
"188",113,0,0,0,0,0,1,NA,0,22761.0324088966
"1410",0,0,0,5,0,0,0,NA,0,8624.37778345928
"994",10,0,0,0,0,0,1,NA,0,12959.6663778611
"1242",30,0,0,0,0,0,1,NA,0,11926.6963628654
"447",0,0,0,0,0,0,0,0,NA,8581.73318199383
"2720",28,0,0,0,0,0,0,NA,0,19492.9647471909
"360",0,0,0,0,0,0,0,NA,NA,266306.286307357
"1792",30,0,0,0,0,0,0,NA,0,14813.890733422
"1675",0,0,0,0,0,0,0,NA,NA,10943.5479748915
"341",4,0,0,0,0,0,0,NA,0,8897.01413605196
"2210",0,0,0,0,0,0,0,NA,NA,23430.2007039945
"695",0,0,0,0,0,0,0,NA,NA,147277.155590287
"97",0,0,0,0,0,0,0,NA,NA,71692.4056868405
"2376",0,0,90,0,0,0,1,NA,1,9837.06777407585
"2239",0,0,0,0,0,0,0,NA,NA,28626.1534789774
"324",0,0,0,0,0,0,0,NA,NA,328885.701425584
"306",20,0,0,0,0,0,0,1,0,22149.2987233562
"561",15,0,0,0,0,0,0,1,0,16588.7414481508
"2339",0,0,1,0,0,0,1,NA,0,8581.73318199383
"236",0,0,0,0,0,0,0,0,NA,6603.6060326581
"757",0,0,0,0,0,0,1,1,NA,9921.61452430036
"2323",0,0,0,0,0,0,1,1,NA,11163.07097842
"1332",0,0,0,0,0,0,0,NA,NA,23739.2727714564
"2596",0,0,0,4,0,0,1,NA,0,40345.7169487648
"1233",5,0,0,0,0,0,0,NA,0,11920.6620766125
"300",0,0,0,0,10,0,1,NA,0,7456.251000417
"17",0,0,0,0,0,0,1,NA,NA,25579.0394602884
"1497",0,0,0,0,0,0,0,NA,NA,43712.4198214136
"2444",0,0,0,0,0,0,0,NA,NA,79297.1183940927
"1014",0,0,0,0,0,0,0,NA,NA,37950.0679760867
"1583",0,0,0,0,0,0,0,NA,NA,68536.953410583
"2035",0,0,135,0,0,0,1,NA,0,15892.2268997907
"2199",60,0,0,0,0,0,1,1,0,11071.7849139088
"2549",0,0,0,0,20,0,1,0,0,7101.216006081
"2051",0,0,0,0,0,0,0,NA,NA,186496.421598281
"1164",135,0,0,0,0,0,1,NA,1,19111.462639839
"1395",60,0,0,0,0,0,0,NA,1,19402.6332356089
"2652",0,0,0,0,5,0,1,NA,0,19402.6332356089
"2507",15,0,0,0,0,0,1,1,0,15875.1164198013
"1422",0,0,0,0,0,0,0,NA,NA,56804.5585468731
"1744",2,0,0,0,0,0,1,NA,0,14289.5175375006
"2101",25,0,0,0,0,0,1,1,0,16801.5311457112
"2110",0,0,0,0,30,0,1,NA,0,3650.32385710212
"2025",0,45,0,0,0,0,0,NA,0,8956.6196748955
"938",7,0,0,0,0,0,0,NA,0,6658.52523598592
"1460",0,0,0,0,0,0,0,NA,NA,199309.961997451
"45",0,0,0,0,0,0,0,NA,NA,282511.482965192
"1547",0,0,0,0,0,0,0,NA,NA,16195.244403379
"1979",0,40,0,0,0,0,1,NA,0,25334.3521098663
"2682",0,0,0,0,0,0,0,NA,NA,63087.0870904877
"2426",0,0,0,0,0,0,0,NA,NA,28626.1534789774
"1818",68,0,0,0,0,0,1,NA,0,5639.08055745565
"716",4,0,0,0,0,0,0,NA,0,16263.9823131638
"2301",0,0,0,0,0,5,1,NA,0,11660.5078174478
"566",0,0,0,0,0,0,1,NA,NA,16431.0478257157
"978",0,0,0,0,0,0,0,NA,NA,34026.1345711354
"789",0,0,0,0,0,6,0,NA,0,14956.2311963403
"1293",0,0,0,0,0,20,0,NA,0,24313.4058905289
"2022",0,0,0,0,0,0,0,NA,NA,50335.7389778118
"2696",0,0,0,0,0,0,0,NA,NA,261137.462687553
"1730",0,0,0,0,0,0,0,NA,NA,55411.4236240347
"2689",0,0,0,0,0,0,0,NA,NA,13961.2681298663
"2749",0,0,0,0,0,0,0,NA,NA,56529.7353393068
"880",0,0,0,0,0,0,0,NA,NA,126375.389362635
"2235",45,0,0,0,0,0,1,NA,NA,25791.49616562
"1305",0,0,0,0,0,0,0,NA,NA,142433.577502713
"1092",0,0,0,0,0,23,0,NA,0,11926.6963628654
"14",0,0,0,0,0,0,0,NA,NA,17902.8072466286
"275",0,0,0,0,0,0,0,NA,NA,91637.6792119851
"1775",0,0,0,0,0,0,0,NA,NA,91425.320105258
"102",10,0,0,0,0,0,0,NA,0,9148.7897061031
"248",0,0,0,0,0,0,1,1,NA,22539.6891930976
"2298",0,0,0,0,0,0,0,NA,NA,63711.3980454024
"557",90,0,0,0,0,0,0,NA,1,23631.42045006
"184",0,0,0,0,0,0,0,NA,NA,92545.6644629852
"1561",3,0,0,0,0,0,1,0,0,9503.47106105691
"1881",0,0,0,1,0,0,0,0,NA,26408.7023736126
"2708",23,0,0,0,0,0,0,NA,0,9047.4394297413
"2292",0,0,0,0,0,0,1,1,0,52922.7801996989
"1321",25,0,0,0,0,0,1,NA,1,6694.53910415754
"2230",0,0,0,0,25,0,1,NA,0,48812.387621794
"780",0,0,0,0,0,0,0,NA,NA,16278.5488353115
"1350",0,0,0,0,0,0,0,NA,NA,18944.6885103641
"120",15,0,0,0,0,0,1,NA,1,9894.33621331773
"2366",0,0,0,10,0,0,0,NA,0,10031.3482554034
"1026",10,0,0,0,0,0,1,NA,0,14285.6699767864
"2827",0,0,0,0,0,10,1,NA,0,14008.8570782595
"1",0,0,0,0,0,0,0,NA,NA,176628.792168228
"2275",0,0,0,0,0,0,0,NA,NA,60731.2728360092
"951",0,0,0,0,0,0,1,1,NA,73588.7524946603
"2785",0,0,0,0,0,0,0,0,NA,26784.8277008526
"2647",0,0,0,0,0,0,0,NA,NA,21695.8230730361
"2589",30,0,0,0,0,0,0,NA,NA,18205.2528780302
"1912",0,0,0,0,0,0,0,NA,NA,51495.5222683738
"1054",32,0,0,0,0,0,1,1,NA,32213.9856414817
"397",0,0,0,0,0,0,0,NA,NA,13621.7557747981
"2237",0,0,0,0,0,0,0,0,NA,13161.3067119389
"2779",0,0,0,0,0,0,0,NA,NA,116757.22089586
"2260",0,0,0,0,0,0,0,NA,NA,69383.7699669214
"902",0,0,0,0,0,0,0,NA,NA,185187.275650729
"2560",0,0,0,0,0,0,0,NA,NA,60403.856843286
"1708",20,0,0,0,0,0,0,NA,0,14072.8667764762
"1721",0,0,0,0,0,0,1,1,NA,23443.0521702132
"2566",50,0,0,0,0,0,0,0,0,10943.5479748915
"632",0,0,0,0,0,0,0,0,NA,34701.131513606
"1356",0,0,0,0,0,0,1,NA,0,99169.3762724205
"2041",0,0,0,0,0,0,0,NA,NA,43937.8091463506
"2435",0,0,0,0,0,0,0,NA,NA,11698.7583946593
"974",0,0,0,0,0,0,0,NA,NA,77942.8681687178
"1941",0,0,0,0,0,0,0,NA,NA,62794.7595152028
"1462",45,0,0,0,0,0,0,NA,0,12291.3271605139
"1829",0,0,0,0,0,0,0,NA,NA,200954.933280956
"2171",23,0,0,0,0,0,0,NA,0,21126.8825068634
"2813",0,0,0,0,0,0,1,NA,0,10025.5222336332
"2546",0,0,0,0,0,0,0,NA,NA,63481.2793378379
"2818",0,0,0,0,0,0,0,NA,NA,39786.2772800647
"2699",0,0,0,0,0,0,0,NA,NA,95281.6244586511
"2612",0,0,0,0,0,0,0,NA,NA,311137.483460013
"2731",0,0,0,0,0,0,0,0,NA,17909.6857528785
"2273",0,0,0,0,0,0,0,NA,NA,145703.942824219
"2159",0,0,0,0,0,0,0,NA,NA,60302.4581156795
"2181",0,0,0,0,0,0,0,NA,NA,19782.1155354138
"1363",45,0,0,0,0,0,0,NA,0,11473.6478835334
"2657",0,0,0,0,0,0,0,NA,NA,71082.2048849951
"2043",0,0,0,0,0,0,0,NA,NA,33476.319518214
"237",0,0,0,15,0,0,1,0,0,38636.6824974362
"1195",68,0,0,0,0,0,0,NA,NA,10453.7196377335
"2217",0,0,0,0,0,0,0,NA,0,12679.7251362158
"687",0,0,0,10,0,0,0,NA,0,7476.56301642918
"267",0,0,0,0,0,0,1,1,NA,26534.4966974155
"678",0,0,0,0,0,0,1,0,0,57355.8985015877
"906",0,0,0,0,0,0,0,NA,NA,8953.18493086955
"1532",0,0,0,0,0,0,0,NA,NA,32887.0667759517
"1495",0,0,0,0,0,0,0,NA,NA,96172.5637782626
"1308",0,0,0,0,0,0,0,NA,NA,51852.8330368641
"1849",0,0,0,0,0,0,0,NA,NA,41792.1145898488
"475",NA,0,NA,NA,NA,0,0,NA,0,18891.573969838
"1110",0,0,0,0,1,0,1,1,0,13936.2874582822
"2157",10,0,0,0,0,0,1,NA,0,43789.8669192024
"1029",0,0,0,0,0,10,1,NA,1,33184.6598262395
"1995",0,0,0,0,0,0,0,0,NA,17055.3419543361
"1146",0,0,0,0,0,0,0,NA,NA,77454.3899002989
"2155",0,0,0,0,0,0,0,NA,NA,32234.0507048054
"2343",0,0,0,0,0,0,0,NA,0,12823.1985468192
"752",0,0,0,0,0,0,0,NA,NA,19429.8135246217
"743",0,0,15,0,0,0,1,NA,0,18292.5131884092
"1989",90,0,0,0,0,0,0,0,0,20846.0837190806
"2177",0,0,0,0,0,0,0,NA,NA,37262.6397177472
"2395",0,0,0,0,0,3,0,NA,0,9606.77856654345
"2163",0,0,0,0,0,0,0,NA,NA,36831.9140687082
"380",0,0,0,0,0,0,0,NA,NA,131810.025098541
"265",0,0,0,0,0,0,0,NA,NA,93723.8277346242
"2418",0,0,0,0,0,0,0,NA,NA,74834.6506389298
"1295",0,0,0,0,0,0,0,NA,NA,68233.2293975654
"791",5,0,0,0,0,0,0,NA,0,21188.530197242
"2769",0,0,0,0,0,0,0,NA,NA,10421.4064822768
"2677",20,0,0,0,0,0,0,NA,0,30462.2412048902
"2012",0,0,0,0,0,0,0,NA,0,27730.799449005
"2379",0,135,0,0,0,0,1,NA,0,7399.55859444377
"2686",0,0,0,0,0,0,1,1,NA,40817.7282160753
"993",0,0,0,0,0,0,0,NA,NA,25583.8561842878
"319",0,0,0,0,0,0,1,1,NA,34503.4824502548
"1822",0,0,0,0,135,0,1,1,1,6208.84362485165
"2679",0,0,0,0,0,0,0,0,NA,20093.2627527708
"1235",2,0,0,0,0,0,0,NA,0,18201.7636415018
"401",0,0,0,0,0,0,0,NA,NA,38860.645688623
"266",0,0,0,10,0,0,0,NA,0,12807.1936466059
"2398",0,0,0,0,0,0,0,NA,NA,9047.4394297413
"1591",0,45,0,0,0,0,0,NA,0,36831.0787815645
"1780",0,0,0,0,0,0,0,NA,NA,183535.320773529
"525",0,68,0,0,0,0,0,NA,0,18822.2222668441
"1472",0,0,0,0,0,0,0,NA,NA,180113.03025854
"326",0,0,0,0,0,0,0,NA,NA,16167.7733536382
"1341",0,0,0,0,0,0,0,NA,NA,83397.0181730639
"1142",45,0,0,0,0,0,0,NA,1,10537.2541162836
"22",0,0,0,0,0,0,0,0,NA,29377.0814559097
"1579",0,0,0,0,0,0,0,NA,NA,24112.4312759462
"1917",0,0,0,0,0,0,1,1,NA,11926.6963628654
"771",0,0,0,0,0,0,0,NA,NA,7960.47518629671
"2570",0,0,0,0,0,0,0,NA,NA,57474.9554878714
"224",0,0,0,0,0,0,0,0,NA,8111.66777141428
"2691",0,8,0,0,0,0,0,NA,0,13106.5642804814
"985",0,0,0,0,0,0,0,NA,NA,54629.2945502163
"202",0,0,0,0,0,0,0,NA,0,9581.24351743373
"204",0,0,0,0,0,0,0,NA,NA,112030.53875349
"2038",5,0,NA,0,0,0,0,NA,NA,5947.3909229296
"1852",0,0,0,0,0,0,0,NA,NA,31564.7751265188
"1544",0,0,0,0,0,0,0,NA,NA,36027.8235815313
"347",0,0,0,0,0,0,0,NA,NA,39919.1328438966
"850",0,0,0,0,0,0,0,0,NA,6880.86482738606
"2114",20,0,0,0,0,0,0,NA,0,8308.33571834665
"823",0,0,0,0,0,4,0,NA,0,19900.2686780473
"2569",0,0,0,0,0,0,0,NA,NA,122009.020428815
"777",0,0,0,0,0,0,0,NA,NA,32518.4759086646
"199",NA,NA,NA,NA,NA,0,1,NA,0,19781.0653363495
"1850",0,0,0,0,0,0,0,NA,NA,122602.119222788
"1920",0,0,0,0,0,0,0,NA,NA,136814.499774781
"1634",0,0,0,0,0,0,1,1,NA,6878.41703420464
"1704",50,0,0,0,0,0,0,NA,0,20185.7776389138
"1456",0,0,0,0,0,0,0,0,NA,9149.97890635684
"181",0,0,0,0,0,0,0,NA,NA,18456.4658330518
"170",0,0,0,0,0,0,0,NA,NA,130504.636319856
"483",0,0,0,0,0,0,0,NA,NA,12255.9781943485
"436",0,0,0,0,0,0,0,NA,NA,78621.3206891617
"465",0,0,0,0,0,0,0,NA,NA,121565.623231232
"1473",5,0,0,0,0,0,0,NA,0,27699.0157234424
"1245",0,0,0,0,0,0,0,NA,NA,44368.5672849106
"2024",3,0,0,0,0,0,0,NA,0,13146.1921952985
"100",0,0,0,0,0,0,0,NA,1,20062.4185635436
"1031",0,23,0,0,0,0,1,NA,0,59997.1683877018
"871",45,0,0,0,0,0,1,NA,0,26825.25451186
"1426",0,0,0,0,0,0,0,NA,NA,21971.4564205603
"1970",3,0,0,0,0,0,0,NA,0,15024.8353030558
"872",90,0,0,0,0,0,1,NA,0,7101.216006081
"2280",23,0,0,0,0,0,0,NA,0,10060.9505769556
"1616",0,0,0,0,0,0,0,NA,NA,54486.5413065538
"888",0,0,0,0,0,0,0,NA,NA,31465.1006943502
"653",0,0,0,0,0,0,0,NA,NA,74948.9020812056
"1952",15,0,0,0,0,0,0,NA,0,9606.77856654345
"927",0,0,0,0,0,0,0,NA,NA,100544.270081306
"1632",0,0,0,0,0,0,0,NA,NA,20290.7714327036
"594",0,0,0,0,0,0,0,0,NA,59114.6843996408
"2243",0,0,0,0,0,0,0,NA,NA,8624.37778345928
"375",0,0,0,0,0,0,0,NA,NA,53436.122063826
"2258",0,0,0,0,0,0,0,NA,NA,32055.8567220448
"1442",0,0,0,0,0,0,0,NA,NA,38861.7626356553
"843",0,0,0,0,0,0,0,NA,NA,5072.2452127301
"1875",0,0,0,0,0,23,1,NA,0,19140.6955901563
"328",15,0,0,0,0,0,0,0,0,14215.0610157082
"2106",0,0,0,0,0,0,0,NA,NA,11562.2955867601
"2842",20,0,0,0,0,0,0,NA,0,21567.3658406692
"1286",0,0,0,0,0,0,0,NA,NA,134690.143133341
"694",0,0,0,0,0,0,0,NA,NA,186496.421598281
"2786",0,60,0,0,0,0,1,NA,0,15280.8443675811
"1365",0,0,0,0,0,0,0,NA,NA,266829.460525827
"1733",0,40,0,0,0,0,1,NA,0,7403.36467814876
"923",0,0,0,0,0,0,0,NA,NA,334493.393870968
"1156",0,0,0,0,0,0,0,0,NA,9921.61452430036
"730",0,0,0,0,0,0,0,NA,NA,28610.9378662354
"1636",0,0,0,0,0,0,0,NA,NA,97676.0829810188
"451",0,0,10,0,0,0,0,NA,0,14969.7165016257
"1122",0,0,0,0,0,0,0,NA,NA,100000.354183325
"795",0,0,0,0,0,0,0,NA,NA,30599.3886530594
"2625",0,0,0,0,0,0,0,NA,NA,75765.9217344199
"2310",0,0,0,0,0,0,1,1,NA,61258.4285510999
"2739",60,0,0,0,0,0,0,NA,0,4766.12530826746
"1556",0,0,0,0,10,0,1,NA,0,12502.598635971
"1170",50,0,0,0,0,0,0,NA,0,12291.3271605139
"1396",0,0,0,0,0,0,0,NA,NA,51523.9790727719
"1274",0,0,0,0,0,0,0,0,NA,4565.13227621733
"1281",0,0,0,0,0,0,0,NA,NA,223324.0920302
"171",10,0,0,0,0,0,1,NA,0,10421.4064822768
"1748",0,0,0,10,0,0,1,0,0,16263.9823131638
"837",0,0,0,0,0,0,0,NA,NA,106072.902370449
"65",0,0,0,0,0,0,0,0,NA,10888.0142513566
"1192",0,0,0,0,0,0,0,NA,NA,63516.867538643
"1705",4,0,0,0,0,0,1,NA,0,8179.03068146691
"415",0,0,0,0,10,0,0,0,0,8034.44343640249
"1937",0,0,0,0,0,0,0,0,NA,51714.6942512444
"2693",45,0,0,0,0,0,0,NA,0,10141.8872676748
"666",0,0,0,0,0,0,0,NA,NA,113205.617299962
"1861",4,0,0,0,0,0,1,NA,0,27557.2479035087
"1496",0,0,0,0,0,0,0,NA,NA,65078.8292559721
"1545",0,0,0,0,0,0,0,NA,NA,11131.553704147
"1420",0,0,0,0,0,0,0,NA,NA,76210.175792787
"1347",0,0,60,0,0,0,1,NA,0,9398.76926319764
"2309",NA,0,0,0,0,0,0,NA,0,10506.5175535021
"2667",0,60,0,0,0,0,1,NA,1,11976.2007710236
"2089",60,0,0,0,0,0,0,NA,0,17100.6046204037
"405",0,0,0,0,0,0,0,NA,NA,72897.3998076911
"213",15,0,0,0,0,0,0,NA,0,9894.33621331773
"2852",0,0,0,0,0,0,0,NA,NA,139540.581273372
"2639",0,0,0,0,10,0,1,NA,0,4815.50971878191
"1090",0,0,0,0,0,0,0,NA,NA,40391.8477406672
"723",135,0,0,0,0,0,0,NA,0,8226.86858861486
"2733",203,0,0,0,0,0,0,NA,0,9146.47946807135
"2224",0,0,0,0,0,0,1,NA,NA,10031.3482554034
"422",30,0,0,0,0,0,0,NA,0,7101.216006081
"2780",0,0,0,0,0,0,0,NA,NA,60993.3964054344
"1735",0,0,0,0,0,0,0,NA,NA,63571.3062072092
"2778",0,0,0,0,0,0,0,NA,NA,183063.24465372
"1246",15,0,0,0,0,0,0,NA,NA,12741.3024440703
"23",0,0,0,0,0,0,0,NA,NA,57824.6484632473
"1267",10,0,0,0,0,0,0,NA,0,11654.6198810987
"1654",30,0,0,0,0,0,1,NA,0,28612.8643612697
"1364",10,0,0,0,0,0,0,NA,0,15451.6097320639
"222",7,0,0,0,0,0,0,NA,0,11602.3674768742
"2296",5,0,0,0,0,0,0,NA,0,7097.01107022457
"2461",0,0,0,0,0,0,0,0,NA,13647.0794816273
"1392",30,0,0,0,0,0,0,NA,0,11920.6620766125
"1468",0,0,0,0,0,0,0,NA,NA,38394.473949073
"1083",158,0,0,0,0,0,0,NA,0,9923.10650954326
"382",0,0,0,0,0,0,0,NA,NA,9427.02055879817
"1612",0,0,0,0,0,0,0,NA,NA,27478.8881604486
"255",0,0,0,0,0,0,0,NA,NA,39316.9534334254
"1519",0,0,0,0,6,0,0,NA,0,16003.0222553316
"1869",35,0,0,0,0,0,1,NA,0,12502.598635971
"370",0,0,0,0,0,0,0,NA,NA,196674.919136916
"206",0,0,0,0,0,0,1,1,NA,47154.5325147182
"2809",0,0,0,0,0,0,0,NA,NA,47966.710928885
"1586",0,0,0,0,0,5,0,NA,0,11602.3674768742
"2599",0,0,0,0,0,0,0,NA,NA,49998.5795201604
"2611",0,0,0,0,3,0,0,NA,0,15099.4682341423
"1719",0,0,0,0,9,0,1,NA,0,14373.3688833991
"1302",0,0,0,0,0,0,1,1,0,8301.02357320472
"1129",0,0,0,0,0,0,0,NA,NA,32289.5876802177
"132",30,0,0,0,0,0,0,NA,0,12617.9853319098
"1174",23,0,0,0,0,0,1,NA,NA,37552.0804168211
"139",0,0,0,0,0,0,0,NA,NA,9998.64249439678
"2204",0,0,0,0,0,0,0,NA,NA,7964.33097237048
"981",0,0,0,0,0,45,1,1,0,19204.2543244004
"48",0,0,0,0,0,0,0,NA,NA,312165.607340393
"2052",0,0,0,0,0,0,0,NA,NA,252701.049663555
"1498",30,0,0,0,0,0,0,0,1,30486.2844686016
"2563",0,0,0,0,0,0,0,0,NA,7101.216006081
"1786",0,0,0,0,0,0,0,NA,NA,43306.8674614206
"1032",0,0,0,0,0,0,0,NA,NA,20879.3678197827
"943",0,0,0,0,0,0,0,NA,NA,16213.1790456053
"519",0,0,0,0,0,0,0,NA,NA,334493.393870968
"1207",0,0,0,0,0,0,0,NA,NA,12531.832573457
"962",0,0,0,0,0,0,0,NA,NA,102280.334704666
"2600",0,0,0,0,0,0,0,NA,0,35215.9311208936
"1230",0,0,0,0,0,0,0,NA,NA,41362.2888429584
"1961",35,0,0,0,0,0,1,NA,0,11473.6478835334
"2774",0,0,0,0,0,0,1,1,NA,17909.6857528785
"1602",0,0,0,0,0,0,0,NA,NA,9047.4394297413
"1394",5,0,0,0,0,0,1,NA,0,30123.9253317703
"1789",0,0,0,0,0,0,0,NA,NA,82619.8291349567
"1035",0,0,0,0,0,0,0,NA,0,47577.2266292188
"2028",0,0,0,0,0,0,0,NA,NA,39316.9534334254
"2299",0,0,0,0,0,0,0,NA,NA,41093.602994997
"2608",10,0,0,0,0,0,1,NA,0,70993.0026186605
"1776",0,10,0,0,0,0,0,NA,0,30702.0076824561
"2014",0,0,0,0,0,0,0,NA,NA,93723.8277346242
"1109",0,0,0,0,0,0,0,0,NA,13358.2857078518
"1290",0,0,0,0,0,0,0,NA,NA,39061.2602019958
"1095",0,0,0,0,10,0,1,NA,0,10568.5057549408
"1898",0,0,0,5,0,0,1,1,0,24881.8107463809
"296",0,0,0,0,0,10,1,NA,0,31523.9422366567
"2744",0,0,0,0,0,0,0,NA,NA,133626.616253714
