"Leave Length, Days","Percent","State Pay","Leave Type"
1,0.0295281822255195,0,"length_own"
2,0.0415813030332539,0,"length_own"
3,0.0411384279329323,0,"length_own"
4,0.0574536502582651,0,"length_own"
5,0.0805505184429932,0,"length_own"
6,0.0176843346762806,0,"length_own"
7,0.0122889692249917,0,"length_own"
8,0.0118941199500506,0,"length_own"
9,0.000963884233995321,0,"length_own"
10,0.104919007838727,0,"length_own"
11,0.00261203719761309,0,"length_own"
12,0.0104519709041231,0,"length_own"
13,0.00195157473018634,0,"length_own"
14,0.0027364094407485,0,"length_own"
15,0.0818714000802053,0,"length_own"
16,0.00146310848918466,0,"length_own"
17,0.00252719186471996,0,"length_own"
19,0.00225487839524355,0,"length_own"
20,0.0659450215523684,0,"length_own"
22,0.0024144687181392,0,"length_own"
23,0.0292744609780063,0,"length_own"
24,0.000498197287970529,0,"length_own"
25,0.0304304865552612,0,"length_own"
28,0.00178218349921312,0,"length_own"
30,0.0687799795757298,0,"length_own"
35,0.00948424133141853,0,"length_own"
40,0.0223136118429454,0,"length_own"
44,0.00078850108108241,0,"length_own"
45,0.0533647636046728,0,"length_own"
46,0.00112114203801524,0,"length_own"
47,0.000746729836151334,0,"length_own"
50,0.0215561328057863,0,"length_own"
55,0.0099032233687483,0,"length_own"
60,0.0098318433758419,0,"length_own"
63,0.00191410328919017,0,"length_own"
65,0.00471557444989197,0,"length_own"
68,0.0388408746765917,0,"length_own"
70,0.00535692439150037,0,"length_own"
75,0.00377493562632362,0,"length_own"
80,0.00263237939292984,0,"length_own"
90,0.0322177737283137,0,"length_own"
105,0.00200481984780093,0,"length_own"
106,0.00187198516178627,0,"length_own"
110,0.00112692172789932,0,"length_own"
113,0.0201470458361883,0,"length_own"
115,0.00123553100711403,0,"length_own"
135,0.0190174739387959,0,"length_own"
158,0.0086436472812907,0,"length_own"
160,0.0013210957145998,0,"length_own"
180,0.00554795500351563,0,"length_own"
203,0.00640338956089626,0,"length_own"
215,0.00118425993797352,0,"length_own"
225,0.000962536975815684,0,"length_own"
248,0.00408884191334893,0,"length_own"
261,0.00488597416784851,0,"length_own"
4,0.0693078972515047,0,"length_matdis"
5,0.0632473439323909,0,"length_matdis"
6,0.0405881884147689,0,"length_matdis"
8,0.00646343886900061,0,"length_matdis"
10,0.0435806285356428,0,"length_matdis"
13,0.00174601851448416,0,"length_matdis"
23,0.0339048555048808,0,"length_matdis"
25,0.00559502526203574,0,"length_matdis"
30,0.116487315292784,0,"length_matdis"
35,0.0127696091666172,0,"length_matdis"
40,0.128608643627983,0,"length_matdis"
45,0.0738561332026016,0,"length_matdis"
55,0.0253660966375928,0,"length_matdis"
60,0.112744973617562,0,"length_matdis"
68,0.0525589478589734,0,"length_matdis"
70,0.0548943854610193,0,"length_matdis"
80,0.00654386800093166,0,"length_matdis"
90,0.0934226621138421,0,"length_matdis"
113,0.0283737013390909,0,"length_matdis"
135,0.0167223591450166,0,"length_matdis"
261,0.0132179082512777,0,"length_matdis"
1,0.00456251623071881,0,"length_bond"
2,0.0134409734384797,0,"length_bond"
3,0.0930921564207235,0,"length_bond"
4,0.0217224350070611,0,"length_bond"
5,0.107955802833485,0,"length_bond"
10,0.133066736481246,0,"length_bond"
15,0.0561515291555706,0,"length_bond"
20,0.015051203672849,0,"length_bond"
25,0.00639995790259805,0,"length_bond"
30,0.107883784421455,0,"length_bond"
40,0.0299593263168063,0,"length_bond"
45,0.099212917878587,0,"length_bond"
60,0.070129763521608,0,"length_bond"
68,0.0675833096654666,0,"length_bond"
70,0.0093184437327178,0,"length_bond"
90,0.0682261785622005,0,"length_bond"
135,0.0216776966385916,0,"length_bond"
225,0.0198777058465799,0,"length_bond"
261,0.0546875622732563,0,"length_bond"
1,0.0563930034565554,0,"length_illchild"
2,0.0431890748471014,0,"length_illchild"
3,0.0902329248022846,0,"length_illchild"
4,0.113347622598333,0,"length_illchild"
5,0.206537755606185,0,"length_illchild"
6,0.0533215611191334,0,"length_illchild"
7,0.0389599015843713,0,"length_illchild"
8,0.011519097476366,0,"length_illchild"
10,0.193160512513604,0,"length_illchild"
12,0.0212903266441784,0,"length_illchild"
15,0.0522090116353789,0,"length_illchild"
16,0.0163385334932869,0,"length_illchild"
20,0.00716987736482701,0,"length_illchild"
25,0.0170213883429364,0,"length_illchild"
30,0.0104560403560912,0,"length_illchild"
38,0.00454402418960353,0,"length_illchild"
40,0.00707214256921548,0,"length_illchild"
45,0.0174158270551404,0,"length_illchild"
50,0.0128227684813098,0,"length_illchild"
55,0.00920417267618127,0,"length_illchild"
135,0.0086663619473933,0,"length_illchild"
225,0.00912807124052371,0,"length_illchild"
1,0.0539918268199365,0,"length_illparent"
2,0.101314169831014,0,"length_illparent"
3,0.0427781950936146,0,"length_illparent"
4,0.0676014520348541,0,"length_illparent"
5,0.109041633802616,0,"length_illparent"
6,0.0118750786879272,0,"length_illparent"
7,0.0120356243078642,0,"length_illparent"
8,0.0222899172090329,0,"length_illparent"
9,0.0275418440735501,0,"length_illparent"
10,0.182944773574029,0,"length_illparent"
12,0.0190954035255255,0,"length_illparent"
